Project ID,Project Name,Project Status,Construction Status,Plannning Approval Address,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,General Housing Program,Specific Program Area,Multiphase or Multisite Project Name,Redevelopment Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed Date,Issuance of Building Permit Date,Issuance of First Construction Document Date,Estimated/Actual Construction Start Date,Estimated Construction Completion Date,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Planning Entitlements,Entitlement Approval Date,Section 415 Declaration,Total Project Units,MOHCD Affordable Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2017-035,3601 Lawton,Pre-Construction,(3) Design with Entitlements Approved,3601 Lawton St,94122,1901,1,4,Sunset/Parkside,Outer Sunset,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,12/20/2019,,Kodorski Design Inc,,,2015-009053PRJ,"2015-009053CUA,2015-009053ENV,2015-009053PPA,2015-009053PPA-02,2015-009053TDM",12/21/2017,On-site BMR Project,41,10,24,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,37.75662309,-122.501553,"(37.75662309, -122.501553)"
2019-029,1939 Market,Construction,(4) Site Work Permit Issued,1939 Market St,94103,3501,6,8,Mission,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,11/15/2026,10/13/2023,,11/15/2026,08/15/2028,Mercy Housing CA,Openhouse,,2022-009171PRJ,,09/29/2023,,187,185,99,0,106,79,0,0,0,0,28,0,185,0,25,0,40,0,37,78,0,20,0,50,0,0,0,0,0,0,0,0,0,37.76993422,-122.4252007,"(37.76993422, -122.4252007)"
2019-018,95 Hawthorne,Pre-Construction,(3) Design with Entitlements Approved,95 Hawthorne St,94105,3735,12,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,09/17/2021,,"Reuben, Junius & Rose, LLP",,,2016-001794PRJ,"2016-001794PRJ, 2016-001794DNXSHD, 2016-001794DNX, 2016-001794ENV",09/19/2019,On-site BMR Project,392,55,14,0,0,28,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,11,0,0,0,12,0,0,0,0,37.78496222,-122.3979201,"(37.78496222, -122.3979201)"
1993-006,Bernal Bundle Scattered Sites - Woolsey Apartments,Building Rehabilitation (Construction),(5) First Construction Document Issued,195 Woolsey St,94134,,,9,Portola,Excelsior,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,Rehabilitation,Rental,03/28/1994,05/15/2025,09/21/1994,,05/15/2025,10/31/2025,Bernal Heights Housing Corporation,,,,,,,10,10,100,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,37.72480443,-122.4033469,"(37.72480443, -122.4033469)"
2016-100,"HPSY II-CP, Block 4B",Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94124,,,10,Bayview Hunters Point,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Hunters Point Ship Yard II/Candlestick Point,Candlestick Point,New Construction,Rental,,12/01/2031,,,12/01/2031,,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,Not Applicable,,,,90,89,99,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,37.72873834,-122.3657977,"(37.72873834, -122.3657977)"
2011-004,Parkmerced - Phase IA & 1B,Pre-Construction,(3) Design with Entitlements Approved,55 Chumasero Dr,94132,,,7,Lakeshore,Lakeshore,MOHCD,Inclusionary Housing,Inclusionary Housing Program,Parkmerced,Not in an OCII Project Area,New Construction,Rental,,,10/29/2018,,04/29/2019,,Maximus,,,2008.0021,"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",02/10/2011,On-site BMR Project; Fee Payment,957,48,5,0,10,21,11,6,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,37.71403324,-122.4725482,"(37.71403324, -122.4725482)"
2016-099,"HPSY II-CP, Block 6B",Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94124,,,10,Bayview Hunters Point,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Hunters Point Ship Yard II/Candlestick Point,Candlestick Point,New Construction,Rental,,06/01/2029,,,06/01/2029,,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,Not Applicable,,,,105,104,99,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,37.71240103,-122.3823625,"(37.71240103, -122.3823625)"
2022-011,5250 3rd St,Pre-Construction,(3) Design with Entitlements Approved,5250 3rd St,94124,5411,10,10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,06/14/2024,,"Leavitt Architecture, Inc.",,,2021-010017AHB,2021-010017AHB,06/16/2022,On-site BMR Project,100,30,30,0,5,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,37.72999552,-122.392651,"(37.72999552, -122.392651)"
2023-029,Portico (Treasure Island),Construction,(5) First Construction Document Issued,490 Avenue of the Palms,94130,8906,9,6,Treasure Island,Treasure Island/YBI,MOHCD,Inclusionary Housing,Inclusionary Housing Program,Treasure Island,Not in an OCII Project Area,New Construction,Ownership,,,,,,,"Wilson Meany, Stockbridge, and Lennar",,,,,,On-site BMR Project,148,7,5,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,37.8216998,-122.3742202,"(37.8216998, -122.3742202)"
2019-017,3314 Cesar Chavez,Pre-Construction,(3) Design with Entitlements Approved,3314 Cesar Chavez St,94110,6571,12,9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,08/20/2021,,Riyad Ghannam,,,2014-003160PRJ,"2014-003160PRJ, 2014-003160CUA, 2014-003160ENV, 2014-003160MCM",08/22/2019,On-site BMR Project,57,11,19,0,0,6,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,3,0,0,37.74852121,-122.4163531,"(37.74852121, -122.4163531)"
2017-018,519 Ellis,Pre-Construction,(3) Design with Entitlements Approved,519 Ellis St,94109,334,"028, 028A",5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,06/11/2020,,"Reuben, Junius & Rose, LLP",,,2018-008501PRJ,,06/13/2018,On-site BMR Project,21,3,14,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.78448846,-122.4148015,"(37.78448846, -122.4148015)"
2023-017,2425 Post,Building Rehabilitation (Construction),(5) First Construction Document Issued,2425 Post St,94115,1080,30,2,Japantown,Western Addition,MOHCD,Temporary/Service Housing,Cooperative Living for Mental Health,,Not in an OCII Project Area,Rehabilitation,Rental,11/15/2022,09/23/2024,09/23/2024,,09/23/2024,03/31/2025,"Conard House, Inc.",,,,,,,3,3,100,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.7838138,-122.4416836,"(37.7838138, -122.4416836)"
2019-027,2300 Harrison,Pre-Construction,(3) Design with Entitlements Approved,2300 Harrison St,94110,3593,1,9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,12/10/2021,,"Reuben, Junius & Rose, LLP",,,2016-010589PRJ,,12/12/2019,On-site BMR Project,24,3,13,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,37.76051343,-122.4127115,"(37.76051343, -122.4127115)"
2023-028,4199 Mission,Pre-Construction,(3) Design with Entitlements Approved,4199 Mission St,94112,5869,14,11,Excelsior,Excelsior,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,07/31/2025,,"4199 Mission Street, LLC",,,2020-004806PRJ,2020-004806AHB,08/02/2023,On-site BMR Project,40,12,30,0,0,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,37.73015195,-122.4294178,"(37.73015195, -122.4294178)"
2016-092,"HPSY I, Block 48 (OCII 2)",Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94124,4591D,"094, 095, 096",10,Bayview Hunters Point,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Hunters Point Ship Yard I,HP Shipyard Phase 1,New Construction,Rental,,12/31/2028,,,12/31/2028,12/31/2030,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,Not Applicable,,,,70,69,99,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,37.7282288,-122.3790763,"(37.7282288, -122.3790763)"
1990-003,William Penn Hotel,Building Rehabilitation (Pre-Construction),(3) Design with Entitlements Approved,160 Eddy St,94102,,,5,Tenderloin,Downtown/Civic Center,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,Rehabilitation,Rental,,02/26/2024,11/08/1991,,02/26/2024,12/02/2025,Chinatown Community Development Center,,,,,,,91,91,100,89,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,37.7845018,-122.4102446,"(37.7845018, -122.4102446)"
2023-035,2395 Sacramento,Pre-Construction,(3) Design with Entitlements Approved,2395 Sacramento St,94115,637,16,2,Pacific Heights,Pacific Heights,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,11/07/2025,,Gokovacandir LLC,,,,,11/09/2023,On-site BMR Project,24,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.78987111,-122.4318289,"(37.78987111, -122.4318289)"
2020-023,1120 Valencia,Construction,(4) Site Work Permit Issued,1120 Valencia St,94110,3635,4,9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,04/25/2022,,09/15/2022,,Y.A. Studio,,,2018-017328PRJ,,09/16/2020,On-site BMR Project,18,2,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37.75486291,-122.4210904,"(37.75486291, -122.4210904)"
2018-048,1924 Mission,Construction,(4) Site Work Permit Issued,1924 Mission St,94103,3554,003A,9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,08/22/2019,,02/20/2020,04/15/2022,Gerry Ramsey,,,2014.0449,,03/27/2019,On-site BMR Project,11,1,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37.76629884,-122.4200135,"(37.76629884, -122.4200135)"
2021-009,2800 Geary,Pre-Construction,(3) Design with Entitlements Approved,2800 Geary Blvd,94118,1069,13,2,Presidio Heights,Presidio Heights,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,06/16/2023,,Elevation Architects,,,2019-023105PRJ,,06/17/2021,On-site BMR Project,42,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,4,0,0,37.78255552,-122.4492881,"(37.78255552, -122.4492881)"
2016-133,Transbay Block 4W (Family),Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94105,,,6,Financial District/South Beach,South of Market,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Transbay,Transbay,New Construction,Rental,,05/15/2028,,,05/15/2028,,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,Not Applicable,,,,200,198,99,0,0,0,0,0,0,0,0,200,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,37.79000867,-122.3934102,"(37.79000867, -122.3934102)"
2025-004,3900 Third Street,Building Rehabilitation (Pre-Construction),(2) Predevelopment Feasibility,3900 3rd St,94124,5242,21,10,Bayview Hunters Point,Bayview,MOHCD,Temporary/Service Housing,Cooperative Living for Mental Health,,,Rehabilitation,Rental,09/25/2024,,,,,,Third Street Youth Center & Clinic,,Third Street Youth Center & Clinic,,,,,20,20,100,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,37.74191119,-122.3884235,"(37.74191119, -122.3884235)"
2019-023,262 7th St,Pre-Construction,(3) Design with Entitlements Approved,262 7th St,94103,3730,7,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,10/01/2021,11/25/2023,Nader Heydayian,,,2014.0334PRJ,2014.0334PRJ,10/03/2019,On-site BMR Project,96,17,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,4,0,0,0,0,37.77698563,-122.4086269,"(37.77698563, -122.4086269)"
2023-004,2530 18th Homeless Prenatal Program Housing,Pre-Construction,(2) Predevelopment Feasibility,2530 18th St,94110,4014,002A,9,Mission,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,06/01/2020,02/01/2027,,,02/01/2027,,Mercy Housing CA,Homeless Prenatal Program,"Mercy Housing 104, LP",2021-009951PRJ,SB 35,06/29/2022,,74,73,99,0,0,36,32,6,0,0,12,74,0,0,37,0,37,0,0,0,0,54,0,15,4,0,0,0,0,0,0,0,0,37.76200568,-122.4077711,"(37.76200568, -122.4077711)"
2016-084,2675 Folsom,Construction,(4) Site Work Permit Issued,2675 Folsom St,94110,3639,"006, 007",9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,12/07/2018,,06/07/2019,,Muhammad A. Nadhiri,,,2014-000601PRJ,"2014-000601CUA,2014-000601ENX,2014-000601PPA",09/22/2016,On-site BMR Project,117,19,16,0,4,8,7,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,37.75475257,-122.4139345,"(37.75475257, -122.4139345)"
2022-010,2955 Mission,Pre-Construction,(3) Design with Entitlements Approved,2955 Mission St,94110,6528,25,9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,06/07/2024,,Sternberg Benjamin Architects,,,2019-023083PRJ,"2019-023083CUA, 2019-023083ENV,",06/09/2022,On-site BMR Project; Fee Payment,18,18,100,0,6,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,37.74981562,-122.4177478,"(37.74981562, -122.4177478)"
2017-024,980 Folsom,Construction,(4) Site Work Permit Issued,980 Folsom St,94103,3732,"028, 035, 152",6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,02/27/2019,,08/28/2019,,Goldman Architecture,,,2013.0977,"2013.0977E,2013.0977ENX,2013.0977PPA,2013.0977SHD,2013.0977TDM,2013.0977U",10/05/2017,On-site BMR Project,33,4,12,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,37.77901603,-122.4052613,"(37.77901603, -122.4052613)"
2017-023,301 6th St,Construction,(4) Site Work Permit Issued,301 6th St,94107,3753,122,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,03/26/2019,,09/24/2019,,"Reuben, Junius & Rose, LLP",,,2013.0538,"2013.0538E,2013.0538ENX,2013.0538SHD,2013.0538TDM,2013.0538U",10/05/2017,On-site BMR Project,95,13,14,0,3,5,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,37.77844191,-122.4049865,"(37.77844191, -122.4049865)"
2016-115,5 Thomas Mellon Circle,Pre-Construction,(3) Design with Entitlements Approved,5 Thomas Mellon Dr,94134,4991,75,10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,11/16/2018,,Ocean Landing LLC,,,2015-009690PRJ,"2015-009690CND,2015-009690CUA,2015-009690DNX,2015-009690ENV,2015-009690PRV",11/17/2016,On-site BMR Project,585,72,12,0,0,43,20,9,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,37.71003156,-122.393457,"(37.71003156, -122.393457)"
2023-011,1010V Mission,Pre-Construction,(3) Design with Entitlements Approved,1010 Mission St,94103,3703,26,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,01/10/2025,,Sia Consulting Corp,,,2022-009297PRJ,"2022-009297PRJ, 2020-005514ENV, 2022-009297DNX",01/12/2023,On-site BMR Project; Fee Payment,57,13,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,0,37.7809217,-122.409044,"(37.7809217, -122.409044)"
2016-124,300/350 Octavia,Construction,(5) First Construction Document Issued,300 Octavia St,94102,832,"092, 094",5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,06/21/2019,12/22/2020,10/16/2018,,DDG 235 Valencia Realty LLC,,,2014-002330PRJ,,10/17/2016,On-site BMR Project,24,3,13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37.77511046,-122.4238365,"(37.77511046, -122.4238365)"
